energy,max,risetime,MED,RMS-DS,kurtosis
2636430412,6987.51323,3.31E-10,1.16E-08,6.67E-16,57.4712667
1245378748,7363.187285,3.31E-10,1.40E-08,9.01E-16,132.0424207
980609430.9,6325.264817,4.55E-10,1.77E-08,1.06E-15,104.9008511
833307984.4,5819.968795,2.89E-10,1.95E-08,1.14E-15,94.58655574
787836328.1,5210.80834,3.31E-10,1.79E-08,1.04E-15,75.97260484
551885675.6,3934.568891,3.31E-10,2.03E-08,1.17E-15,57.29833056
424350970,3601.317779,3.31E-10,2.23E-08,1.26E-15,71.10138397
550280260.7,5071.55756,3.31E-10,1.71E-08,1.12E-15,125.22313
1298502939,6887.517507,3.31E-10,1.35E-08,8.97E-16,112.0028122
1178240245,6608.792452,3.31E-10,1.69E-08,9.95E-16,114.7831652
1394376117,5852.16123,3.31E-10,1.76E-08,8.66E-16,65.96998911
646941294.7,4986.73494,3.31E-10,2.05E-08,1.10E-15,65.96367491
616651210.2,3988.616339,2.48E-10,2.23E-08,1.05E-15,59.28137939
629486437.3,5070.633755,2.48E-10,1.68E-08,1.09E-15,134.880619
1426194429,6780.25573,3.31E-10,1.65E-08,9.22E-16,82.21695272
2021930898,7452.021658,3.31E-10,1.49E-08,8.07E-16,67.73741232
1120644328,5983.125046,3.31E-10,1.91E-08,9.91E-16,66.06774819
646995925.3,4844.650791,3.31E-10,2.08E-08,1.17E-15,89.37772608
555227848.6,5085.086996,3.72E-10,1.73E-08,1.14E-15,144.2983244
1587094197,7241.188296,3.31E-10,1.53E-08,8.63E-16,88.67476177
1092843345,6405.235397,3.31E-10,1.64E-08,9.87E-16,108.8545743
1023371857,6202.179696,4.13E-10,1.61E-08,1.02E-15,118.0632205
744895051.7,5715.348849,3.31E-10,1.79E-08,1.16E-15,133.0034228
1806562569,6385.396254,3.31E-10,1.78E-08,8.89E-16,50.31864053
1049298407,5913.00131,2.48E-10,1.88E-08,1.07E-15,79.82877935
645933030.7,5270.605538,3.31E-10,1.93E-08,1.11E-15,86.66210404
1769105243,7977.711478,3.72E-10,1.46E-08,8.76E-16,97.72122444
793478094.9,6007.707896,4.13E-10,1.94E-08,1.19E-15,121.5771214
1135760367,6722.777128,3.31E-10,1.56E-08,9.91E-16,116.3176022
972369675.9,6420.819557,2.89E-10,1.52E-08,1.02E-15,125.6132031
1096607971,5662.536928,2.89E-10,1.76E-08,9.89E-16,72.51830265
1563660517,7005.890041,3.31E-10,1.28E-08,9.06E-16,103.162173
973881215.3,6265.205468,2.89E-10,1.87E-08,1.18E-15,122.4427711
888422111.5,6167.979374,3.31E-10,1.82E-08,1.12E-15,109.5938916
887286152.6,5797.150329,3.31E-10,1.79E-08,1.16E-15,112.3552657
741426017.2,5736.003347,4.13E-10,1.82E-08,1.16E-15,109.9924349
1460070270,7185.292498,2.48E-10,1.43E-08,9.28E-16,89.7087717
1159169836,6417.495076,2.48E-10,1.38E-08,9.40E-16,105.2036853
759278274.7,5358.17235,3.31E-10,2.02E-08,1.18E-15,92.75099067
846382059.3,6323.419403,3.31E-10,1.69E-08,1.10E-15,117.3928342
585040159.1,4975.519497,2.48E-10,1.97E-08,1.25E-15,120.1842449
645955207.3,4883.795955,3.31E-10,2.23E-08,1.14E-15,70.7760675
839246055,6140.780709,3.31E-10,1.86E-08,1.17E-15,126.0404457
626267643.9,5259.405516,3.31E-10,2.28E-08,1.34E-15,118.2248052
1723467911,7530.54744,4.13E-10,1.35E-08,8.78E-16,102.0929221
546867265,3798.492481,4.55E-10,2.60E-08,1.18E-15,48.37394037
587538196.7,4959.368666,4.13E-10,2.11E-08,1.30E-15,114.1447652
1411614970,7699.193178,3.31E-10,1.45E-08,1.00E-15,123.5920621
1076204771,6460.332801,2.48E-10,1.56E-08,9.89E-16,115.0950362
1445689189,7444.56196,4.13E-10,1.61E-08,1.03E-15,108.7225035
881941421.4,6065.054191,3.31E-10,1.87E-08,1.18E-15,126.600676
770580518.9,5661.75272,3.31E-10,2.14E-08,1.24E-15,102.5382252
1154908127,7053.218908,3.31E-10,1.58E-08,1.04E-15,130.4705432
1736349069,7764.716656,3.31E-10,1.42E-08,9.47E-16,104.7317533
651304265.4,4907.973868,3.72E-10,2.26E-08,1.23E-15,76.72715663
736275480.8,5808.972378,3.31E-10,2.07E-08,1.20E-15,131.62386
1091875554,6257.877933,2.48E-10,1.66E-08,1.08E-15,110.3884256
473031416.3,3458.98728,3.31E-10,1.48E-08,9.68E-16,61.5132264
1128632305,5761.715873,3.72E-10,1.34E-08,8.24E-16,62.73067846
